"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2012""";;;;;;;;;;;
;;;;;;;;;;;
"""Número de Autorização de Origem""";Data da Aprovação;"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)"""
"""66""";02/04/2012;"""3""";"""Mobile Meals E Fast Foods Gone Global""";"""Documentário""";"""14/04/2012 a 27/04/2012""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Tremendous! Entertainment, Inc.""";"""Estados Unidos""";"""Estrangeira""";"""SP"""
"""67""";03/04/2012;"""5""";"""Futaritabi""";"""Documentário""";"""10/05/2012 a 25/05/2012""";"""América do Sul Produções de Documentários Ltda.""";"""SP""";"""Dreamax Television Inc.""";"""Japão""";"""Estrangeira""";"""BA/MS/PR"""
"""067-1""";18/04/2012;"""Cancelamento do projeto""";"""Futaritabi""";"""Documentário""";"""xxx """;"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""Estrangeira""";"""xxx"""
"""68""";04/04/2012;"""7""";"""Active Vacation""";"""Publicitária""";"""27/04/2012 a 13/05/2012""";"""Ocean Produção de Filmes Ltda.""";"""SC""";"""Anonymous Content""";"""Estados Unidos""";"""Estrangeira""";"""BA/RJ"""
"""69""";10/04/2012;"""3""";"""Niji-Iro""";"""Documentário""";"""17/04/2012 a 24/04/2012""";"""Wasabi JB Comunicação Ltda.""";"""RJ""";"""Nouveau Inc.""";"""Japão""";"""Estrangeira""";"""RJ"""
"""70""";11/04/2012;"""7""";"""Generation Earth""";"""Documentário""";"""18/04/2012 a 02/05/2012""";"""Francisco Ferreira Pinto Filho""";"""AM""";"""BBC""";"""Reino Unido""";"""Estrangeira""";"""GO/RJ/SP"""
"""71""";12/04/2012;"""2""";"""Unesco World Heritage Sites""";"""Documentário""";"""17/04/2012 a 04/05/2012""";"""Blue Eye Empreendimentos e Produções Audiovisuais Ltda.""";"""RJ""";"""Infocus Asia Pte Ltd""";"""Cingapura""";"""Estrangeira""";"""AM"""
"""72""";17/04/2012;"""4""";""" A História Do Mundo""";"""Documentário""";"""04/05/2012 a 12/05/2012""";"""Neon Rio Ltda.""";"""RJ""";"""BBC - British Broadcasting Corporation""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""73""";04/04/2012;"""6""";"""Ufc Estados Unidos""";"""Documentário""";"""24/04/2012 a 31/05/2012""";"""Paradiso Films Ltda.""";"""SP""";"""Positive Image Vídeo""";"""Estados Unidos""";"""Estrangeira""";"""BA"""
"""74""";17/04/2012;"""6""";"""Taste Off""";"""Documentário""";"""08/05/2012 a 05/06/2012""";"""Terra Vermelha Filmes Ltda.""";"""RJ""";"""Betty TV Ltd.""";"""Reino Unido""";"""Estrangeira""";"""RJ"""
"""75""";18/04/2012;"""4""";"""60 Minutes""";"""Documentário""";"""25/04/2012 a 15/05/2012""";"""Neon Rio Ltda.""";"""RJ""";"""Nine Network Australia""";"""Austrália""";"""Estrangeira""";"""SP"""
"""075-1""";11/05/2012;"""Cancelamento do projeto""";"""60 Minutes""";"""Documentário""";"""xxx """;"""xxx""";"""xxx""";"""xxx""";"""xxx""";"""Estrangeira""";"""xxx"""
"""76""";18/04/2012;"""1""";"""Futura""";"""Publicitária""";"""18/04/2012 a 30/04/2012""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""xxx""";"""xxx""";"""Brasileira""";"""SP"""
"""77""";19/04/2012;"""3""";"""Go Brazil Go!""";"""Documentário""";"""23/04/2012 a 30/04/2012""";"""Paranoid Brasil Ltda.""";"""SP""";"""Single Carioca, LLC""";"""Estados Unidos""";"""Estrangeira""";"""DF/RJ/SP"""
