Listagem dos Agentes Econômicos Registrados na Ancine;;;;;;;;;
;;;;;;;;;
Registro Ancine;CNPJ;Razão Social;Atividade Econômica Principal;Natureza Jurídica;Munícipio;UF;Data do Primeiro Registro na Ancine;Data de Abertura da Empresa;Agente Econômico Brasileiro Independente
26063;06.281.953/0001-51;40 GRAUS PRODUÇÕES ARTÍSTICAS LTDA;Estúdios cinematográficos;Sociedade Simples Limitada;RIO DE JANEIRO;RJ;27/01/2014;12/05/2004;SIM
13350;09.065.789/0001-33;400 FILMES - SERVIÇOS DE PRODUÇÃO LTDA ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;BRASÍLIA;DF;08/01/2008;06/09/2007;SIM
378;04.779.834/0001-06;4004 - PRODUÇÕES DE ARTE LTDA.;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;08/07/2002;27/07/2001;SIM
40378;30.483.521/0001-08;404 PRODUCOES AUDIOVISUAIS LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;BRASÍLIA;DF;03/07/2018;17/05/2018;SIM
47849;30.908.200/0001-08;42 CRIATIVA LTDA;Produção de filmes para publicidade;Sociedade Empresária Limitada;SALVADOR;BA;03/03/2021;11/07/2018;SIM
16934;01.287.007/0001-07;44 BICO LARGO COMERCIAL LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;03/05/2010;27/06/1996;SIM
34923;26.651.887/0001-71;44 ENTRETENIMENTO INTERATIVO DESENVOLVIMENTO DE SOFTWARE LTDA.;Desenvolvimento de programas de computador sob encomenda;Sociedade Empresária Limitada;SÃO PAULO;SP;21/12/2016;02/12/2016;SIM
11870;08.517.383/0001-81;44 TOONS - PRODUÇÕES ARTÍSTICAS LTDA;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;SÃO PAULO;SP;26/01/2007;23/11/2006;SIM
38112;02.705.736/0001-90;4ELEMENTOS PRODUTORA LTDA - ME;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente;Sociedade Empresária Limitada;RIO DE JANEIRO;RJ;01/11/2017;01/07/1998;SIM
40314;30.659.521/0001-16;4K COMUNICACAO PUBLICITARIA EIRELI;Produção de filmes para publicidade;Empresa Individual de Responsabilidade Limitada (de Natureza Empresária);NATAL;RN;28/06/2018;08/06/2018;SIM
