Listagem de Filmes Brasileiros e Estrangeiros Exibidos - 2009 a 2019;;;;;;;;;;
;;;;;;;;;;
Ano de exibição;Título da obra;CPB/ROE;Gênero;País(es) produtor(es) da obra;Nacionalidade da obra;Data de lançamento;Empresa distribuidora;Origem da empresa distribuidora;Público no ano de exibição;Renda (R$) no ano de exibição
2019;Cemitério Maldito;E1900097700000;Ficção;Estados Unidos;Estrangeira;09/05/2019;Paramount;Distribuição Internacional;550.885;8.395.749,00
2019;Central Do Brasil;B0500310900000;Ficção;Brasil;Brasileira;03/04/1998;Videofilmes;Distribuição Nacional;263;2.652,00
2019;Cezanne E Eu;E1900192700000;Ficção;Bélgica, França;Estrangeira;04/07/2019;Bretz Filmes;Distribuição Nacional;19.150;337.341,00
2019;Chega De Fiu Fiu;B1800184900000;Documentário;Brasil;Brasileira;22/05/2018;Taturana;Distribuição Nacional;164;799
2019;Chorar De Rir;B1800556100000;Ficção;Brasil;Brasileira;21/03/2019;Warner;Distribuição Internacional;82.715;1.250.625,00
2019;Chuva É Cantoria Na Aldeia Dos Mortos;B1800515000000;Ficção;Brasil, Portugal;Brasileira;18/04/2019;Embaúba Filmes;Distribuição Nacional;3.815;42.917,00
2019;Chá Com As Damas;E1800554300000;Documentário;Reino Unido;Estrangeira;13/12/2018;Supo Mungam Films;Distribuição Nacional;2.183;28.337,00
2019;Cinderela E O Príncipe Secreto;E1800390000000;Animação;Estados Unidos;Estrangeira;11/10/2018;Imagem;Distribuição Nacional;117;2.188,00
2019;Cinderela Pop;B1900048500000;Ficção;Brasil;Brasileira;28/02/2019;Vitrine Filmes;Distribuição Nacional;476.714;6.433.928,00
2019;Cine Holliúdy 2 - A Chibata Sideral;B1800441300000;Ficção;Brasil;Brasileira;21/03/2019;Downtown;Distribuição Nacional;169.970;2.479.403,00
2019;Cine São Paulo;B1700435100000;Documentário;Brasil;Brasileira;07/11/2019;Taturana;Distribuição Nacional;438;3.253,00
2019;Climax;E1800609200000;Ficção;França;Estrangeira;31/01/2019;Imovision;Distribuição Nacional;10.244;165.276,00
2019;Colette;E1800415000000;Ficção;Estados Unidos, Reino Unido;Estrangeira;13/12/2018;Diamond Films;Distribuição Nacional;12.853;194.161,00
