"""Listagem de Produções no Brasil com Participação de Profissionais Estrangeiros - 2008""";;;;;;;;;;;;;
"""Número de Autorização de Origem""";"""Data da Aprovação""";"""Número de Técnicos/
Artistas Estrangeiros""";"""Título da Obra""";"""Tipo de Obra""";"""Período Produção""";"""Empresa Brasileira""";"""UF""";"""Empresa Estrangeira""";"""País""";"""Produção""";"""Local de Filmagem (UF)""";;
"""89""";"""39566""";"""2""";"""Vermist""";"""documentário""";"""06/05/2008 a 10/05/2008""";"""Mares Produções Ltda""";"""RJ""";"""Tros Broadcasting Company""";"""Holanda""";"""Estrangeira""";"""PA/SP""";;
"""90""";"""39576""";"""1""";"""A Guerra dos Vizinhos II""";"""ficção""";"""16/05/2008 a 16/07/2008""";"""XR2 Cinevideo Ltda""";"""SP""";"""Cinemate Material Cinematográfico S/A""";"""Portugal""";"""Coprodução""";"""SP""";;
"""91""";"""39574""";"""2""";"""Os mitos de criação da Humanidade""";"""documentário""";"""03/06/2008 a 10/06/2008""";"""Aura Filme Produções Ltda""";"""RJ""";"""JRF GmbH & Co. KG""";"""Alemanha""";"""Estrangeira""";"""RO""";;
"""92""";"""39576""";"""9""";"""Nickers Mexico""";"""programa de TV""";"""27/05/2008 a  17/06/2008""";"""Transcom Sistema de Comunicação Ltda""";"""SP""";"""MTV Networks Latin America, Inc""";"""Estados Unidos""";"""Estrangeira""";"""SP""";;
"""93""";"""39577""";"""1""";"""Lugar no mundo""";"""publicitária""";"""14/04/2008 a 14/05/2008""";"""Movi & Art Produções Cinemátográficas Ltda""";"""SP""";"""Ozono Filmes Ltda""";"""Portugal""";"""Estrangeira""";"""SP""";;
"""94""";"""39577""";"""1""";"""C&A""";"""publicitária""";"""12/05/2008 a 30/06/2008""";"""O2 Produções Artísticas e Cinematográficas Ltda""";"""SP""";"""Boxer Films""";"""Estados Unidos""";"""Estrangeira""";"""SP""";;
"""95""";"""39582""";"""3""";"""A bússula de Shikoku""";"""documentário""";"""04/06/2008 a 25/06/2008""";"""Urutau Filmes Ltda""";"""SP""";"""NHK - Japan Broadcasting Corporation""";"""Japão""";"""Estrangeira""";"""SP""";;
"""96""";"""39582""";"""5""";"""David Jones Rio""";"""publicitária""";"""22/05/2008 a 01/06/2008""";"""Comboio Participações Artísticas e Eventos Ltda""";"""RJ""";"""Clou Production""";"""Estados Unidos""";"""Estrangeira""";"""RJ""";;
"""97""";"""39584""";"""5""";"""Home""";"""documentário""";"""25/05/2008 a 01/06/2008""";"""Alô Vídeo Ltda""";"""RJ""";"""Elzevir Films""";"""França""";"""Estrangeira""";"""AM/PA""";;
"""98""";"""39588""";"""3""";"""Sekai no hatemade itte q-lençois""";"""documentário""";"""25/07/2008 a 04/08/2008""";"""XES Projetos Visuais Ltda""";"""SP""";"""Call TV - Program Production Co.""";"""Japão""";"""Estrangeira""";"""MA""";;
