Listagem de Complexos de Exibição por Município e UF - 2019;;;;;;;
;;;;;;;
#;UF;Município;População*;Nome Complexo;Grupo ANCINE;Registro Ancine do Complexo;Número de Salas
250;MS;CAMPO GRANDE;895.982;Cinépolis Norte Sul Plaza;CINÉPOLIS;20429;7
251;MS;CAMPO GRANDE;895.982;UCI Bosque dos Ipês;UCI;27590;6
252;MS;DOURADOS;222.949;ARAÚJO Multiplex Avenida;ARAÚJO;6397;3
253;MS;PONTA PORÃ;92.526;CIRCUITO Cinemas Ponta Porã;CIRCUITO;42557;4
254;MT;ALTA FLORESTA;51.782;Cine Company Alta Floresta;INDEPENDENTE;37638;1
255;MT;BARRA DO GARÇAS;61.012;Cine Laser Barra do Garças;LASER;33806;3
256;MT;CÁCERES;94.376;Cine Xin;INDEPENDENTE;15266;2
257;MT;CUIABÁ;612.547;ARAÚJO Cuiabá Shopping Pantanal;ARAÚJO;4399;8
258;MT;CUIABÁ;612.547;Cinemark Goiabeiras;CINEMARK;24765;7
259;MT;CUIABÁ;612.547;Cinépolis Estação Cuiabá;CINÉPOLIS;40917;7
260;MT;CUIABÁ;612.547;Cinépolis Três Américas;CINÉPOLIS;30122;8
261;MT;PRIMAVERA DO LESTE;62.019;Cine Teatro Vila Rica;INDEPENDENTE;14638;2
262;MT;RONDONÓPOLIS;232.491;Cine Vip.Com;INDEPENDENTE;14782;3
263;MT;SINOP;142.996;Cine Center do Machado;INDEPENDENTE;29862;2
264;MT;SORRISO;90.313;Cine Laser Sorriso;LASER;19467;2
265;MT;TANGARÁ DA SERRA;103.750;Cineshop 3D;INDEPENDENTE;19404;2
266;MT;VÁRZEA GRANDE;284.971;Cineflix Várzea Grande Shopping;CINEFLIX;31101;6
267;PA;ALTAMIRA;114.594;Cine A Altamira;CINE A;33426;3
268;PA;ANANINDEUA;530.598;Cinesystem Ananindeua;CINESYSTEM;38898;10
269;PA;BELÉM;1.492.745;Cinépolis Boulevard Belém;CINÉPOLIS;17763;7
270;PA;BELÉM;1.492.745;Cinépolis Parque Belém;CINÉPOLIS;21616;7
271;PA;BELÉM;1.492.745;Moviecom Belém Pátio;MOVIECOM SÃO PAULO;13915;6
272;PA;BELÉM;1.492.745;Moviecom Castanheira;MOVIECOM SÃO PAULO;2896;7
273;PA;BELÉM;1.492.745;UCI Bosque Grão-Pará;UCI;32026;6
274;PA;CASTANHAL;200.793;Moviecom Castanhal Shopping;MOVIECOM SÃO PAULO;15211;3
275;PA;ITAITUBA;101.247;Itacine;INDEPENDENTE;26810;1
276;PA;MARABÁ;279.349;Cine A Marabá;CINE A;28466;4
277;PA;MARABÁ;279.349;Moviecom Pátio Marabá;MOVIECOM SÃO PAULO;25394;5
278;PA;PARAGOMINAS;113.145;Mobi Cine Paragominas;MOBICINE;28563;2
279;PA;PARAUAPEBAS;208.273;Art Movie Karajas;CIRCUITO;41661;3
280;PA;PARAUAPEBAS;208.273;CIRCUITOParauapebas;CIRCUITO;27873;4
281;PA;REDENÇÃO;84.787;Mobi Cine Redenção;MOBICINE;38513;3
282;PA;SANTARÉM;304.589;Cinesystem Santarém (Rio Tapajós Shopping);CINESYSTEM;31524;5
283;PA;TUCURUÍ;113.659;Mobi Cine Tucuruí;MOBICINE;31594;3
284;PA;XINGUARA;44.751;Cinemax Xinguara;INDEPENDENTE;24284;2
285;PA;ALTAMIRA ;114.594;Casa de Cultura - Cinema Lúcio Mauro;INDEPENDENTE;S/REG;1
286;PA;SANTARÉM;304.589;Cine Laser Santarém;INDEPENDENTE;45275;2
287;PB;CAMPINA GRANDE;409.731;Cinesercla Campina Grande;EXIBIDORA NACIONAL;18991;5
288;PB;CATOLÉ DO ROCHA;30.546;Cine Garden 7;INDEPENDENTE;33181;1
289;PB;GUARABIRA;58.833;Cinemaxxi Cidade Luz;INDEPENDENTE;32727;3
290;PB;JOÃO PESSOA;809.015;Centerplex Mag Shopping;CENTERPLEX;37602;4
291;PB;JOÃO PESSOA;809.015;Cinépolis Manaíra Shopping;CINÉPOLIS;30097;11
