Listagem dos Filmes Brasileiros Lançados Comercialmente em Salas de Exibição com Valores Captados através de Mecanismos de Incentivo e Fundo Setorial do Audiovisual - 1995 a 2019;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;
Ano de Lançamento;Certificado de Produto Brasileiro (CPB);Título;Direção;Gênero;Empresa Produtora Brasileira Majoritária;UF;Empresa Produtora Minoritária Brasileira;UF;Distribuidora;Máximo de Salas;Público;Renda (R$);Projeto de incentivo aprovado?;Art. 18;Art. 25;Art. 1º;Art. 1 º A;Art. 3º;Art. 3º A;Conversão da dívida;Art. 39;Funcines;FSA;Outras Fontes;Valor Total Captado/ Contratados(R$)
1999;Sem CPB;Contos de Lygia e Morte;Del Rangel;Ficção;Cinema Profissional;SP; -; -;Lumière;2;649;3.257,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1999;B0500286100000;Dois Córregos;Carlos Reichenbach;Ficção;Dezenove Som e Imagens/TV Cultura;SP/SP; -; -;RioFilme;13;38.017;189.716,00;Sim; - ; - ;1.835.261,00; - ; - ; - ; - ; - ; - ; -; -;1.835.261,00
1999;B0500304300000;Fé;Ricardo Dias;Documentário;Superfilmes;SP; -; -;RioFilme;4;8.248;42.349,00;Sim; - ; - ;558.412,00; - ; - ; - ; - ; - ; - ; -; -;558.412,00
1999;Sem CPB;Histórias do Flamengo;Alexandre Niemyer;Documentário;Produções Carlos Niemeyer Filmes;RJ; -; -;RioFilme;14;11.157;56.465,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1999;B0600618500000;Mário;Hermano Penna;Ficção;Luz XXI/Estudios Quanta;SP/SP; -; -;RioFilme;1;2.249;11.929,00;Sim; - ; - ;240.004,48; - ; - ; - ; - ; - ; - ; -; -;240.004,48
1999;B0400086000000;Mauá - o Imperador e o Rei;Sergio Rezende;Ficção;Lagoa Cultural;RJ; -; -;Buena Vista/RioFilme;78;195.790;923.684,00;Sim;1.935.000,00; - ;3.000.000,00; - ; - ; - ; - ; - ; - ; -; -;4.935.000,00
1999;B0500310100000;No Coração dos Deuses;Geraldo Moraes;Ficção;Aquarela;DF; -; -;RioFilme;25;23.217;90.530,00;Sim;803.284,38; - ;352.192,10; - ; - ; - ; - ; - ; - ; -; -;1.155.476,48
1999;B0300021500000;Nós que aqui Estamos por vós Esperamos;Marcelo Masagão;Documentário;Um Minuto;SP; -; -;RioFilme;4;58.577;285.130,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1999;B0500446400000;O Primeiro Dia;Daniela Thomas/Walter Salles;Ficção;Videofilmes;RJ; -; -;Lumière/RioFilme;17;64.383;347.917,00;Sim; - ; - ;2.317.000,00; - ; - ; - ; - ; - ; - ; -; -;2.317.000,00
1999;B0500336400000;O Trapalhão e a Luz Azul;Alexandre Boury/Paulo Aragão;Ficção;Globo Filmes/Renato Aragão Produções;RJ/RJ; -; -;Lumière;239;771.831;2.947.356,00;Sim;250.000,00; - ;900.000,00; - ;1.200.000,00; - ; - ; - ; - ; -; -;2.350.000,00
1999;B0600450400000;O Tronco;João Batista de Andrade;Ficção;Raiz Produções;SP; -; -;Pandora;ND;1.000;5.000,00;Sim;672.677,80; - ;1.816.076,00; - ; - ; - ; - ; - ; - ; -; -;2.488.753,80
1999;B0600460600000;O Viajante;Paulo César Saraceni;Ficção;Shater Produções Artísticas;RJ; -; -;RioFilme;2;5.970;24.809,00;Sim;1.582.500,00; - ;1.698.913,00; - ; - ; - ; - ; - ; - ; -; -;3.281.413,00
1999;B0800822000000;Orfeu;Cacá Diegues;Ficção;Globo Filmes/Rio Vermelho Filmes;RJ/RJ; -; -;Warner;147;961.961;4.455.409,00;Sim;4.477.477,99; - ;2.225.000,00; - ; - ; - ; - ; - ; - ; -; -;6.702.477,99
1999;B0800819200000;Os Carvoeiros;Nigel Noble;Documentário;Zazen Produções;RJ; -; -;Zazen;ND;1.000;5.000,00;Sim;62.000,00; - ;881.251,00; - ; - ; - ; - ; - ; - ; -; -;943.251,00
1999;Sem CPB;Outras Estórias;Pedro Bial;Ficção;THEO Filmes;RJ; -; -;RioFilme;6;21.515;102.060,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1999;B0600508700000;Paixão Perdida;Walter Hugo Khouri;Ficção;TV Cultura/Videcom;SP/SP; -; -;RioFilme;6;3.596;19.516,00;Sim; - ; - ;457.220,00; - ; - ; - ; - ; - ; - ; -; -;457.220,00
1999;B0300013900000;Por Trás do Pano;Luiz Villaça;Ficção;Nia Filmes;SP; -; -;RioFilme;7;22.109;118.411,00;Sim;549.999,99; - ;694.569,00; - ; - ; - ; - ; - ; - ; -; -;1.244.568,99
1999;B0901021800000;Santo Forte;Eduardo Coutinho;Documentário;CECIP - Centro de Criação de Imagem Popular;RJ; -; -;RioFilme;4;18.313;91.883,00;Não; - ; - ; - ; - ; - ; - ; - ; - ; - ; -; -; -
1999;B0300047700000;São Jerônimo;Julio Bressane;Ficção;TB Produções;RJ; -; -;RioFilme;2;5.000;27.722,00;Sim; - ; - ;76.000,00; - ; - ; - ; - ; - ; - ; -; -;76.000,00
